step,ce,tokens
47.0,6.997993,101000000.0
68.0,6.280862,145000000.0
82.0,5.979123,174000000.0
95.0,5.746181,201000000.0
123.0,5.37246,260000000.0
138.0,5.188326,292000000.0
189.0,4.712159,398000000.0
192.0,4.677635,405000000.0
217.0,4.70309,457000000.0
320.0,4.287519,673000000.0
341.0,4.179661,717000000.0
351.0,4.115298,738000000.0
360.0,4.029899,757000000.0
378.0,3.813709,795000000.0
383.0,3.811768,805000000.0
407.0,3.754139,856000000.0
435.0,3.881346,914000000.0
443.0,4.003133,931000000.0
481.0,3.566455,1010999999.9999999
493.0,3.477001,1036000000.0
506.0,3.486727,1063000000.0
580.0,3.517816,1218000000.0
635.0,3.323446,1334000000.0
643.0,3.323708,1351000000.0
660.0,3.353664,1386000000.0
681.0,3.541014,1430000000.0
692.0,4.818437,1453000000.0
695.0,3.879424,1460000000.0
732.0,3.300701,1537000000.0
768.0,3.175563,1613000000.0
820.0,3.174949,1722000000.0
994.0,3.067233,2087000000.0000002
1022.0,2.989067,2145000000.0
1043.0,2.970973,2189000000.0
1047.0,2.992706,2198000000.0
1125.0,2.94989,2361000000.0
1134.0,2.949785,2380000000.0
1150.0,2.915737,2414000000.0
1167.0,2.913695,2449000000.0
1184.0,2.938479,2485000000.0
1279.0,2.879897,2684000000.0
1308.0,2.855737,2745000000.0
1315.0,2.876573,2760000000.0
1316.0,2.899031,2762000000.0
1327.0,3.089436,2785000000.0
1359.0,2.899107,2852000000.0
1369.0,2.874715,2873000000.0
1398.0,2.841989,2934000000.0
1409.0,2.833325,2957000000.0
1417.0,2.801466,2974000000.0
1494.0,2.832346,3135000000.0
1512.0,2.824679,3173000000.0
1533.0,2.852142,3217000000.0
1541.0,2.81216,3234000000.0
1558.0,2.795548,3269000000.0
1572.0,2.765055,3299000000.0
1586.0,2.77549,3328000000.0
1598.0,2.76091,3353000000.0
1632.0,2.762515,3425000000.0
1674.0,2.737616,3513000000.0
1720.0,2.750129,3609000000.0
1747.0,2.700419,3666000000.0
1763.0,2.704905,3699000000.0
1809.0,2.702347,3796000000.0
1827.0,2.694374,3834000000.0
1829.0,2.679378,3838000000.0
1847.0,2.70697,3876000000.0
